instrument_name,instrument_id,date
AUROPHARMA,379,03-04-2020
RELIANCE,90,03-04-2020
INDUSINDBK,226,07-04-2020
CADILAHC,344,08-04-2020
PVR,101,08-04-2020
CIPLA,329,09-04-2020
INDUSINDBK,226,09-04-2020
AMARAJABAT,395,13-04-2020
BANDHANBNK,365,15-04-2020
INDIGO,228,15-04-2020
WIPRO,4,16-04-2020
IBULHSGFIN,244,17-04-2020
INDUSINDBK,226,17-04-2020
INDIGO,228,20-04-2020
TVSMOTOR,25,20-04-2020
IBULHSGFIN,244,21-04-2020
INDUSINDBK,226,21-04-2020
ADANIPORTS,401,22-04-2020
RELIANCE,90,22-04-2020
TITAN,33,23-04-2020
ZEEL,2,23-04-2020
SRTRANSFIN,64,24-04-2020
CADILAHC,344,27-04-2020
MINDTREE,155,27-04-2020
INDUSINDBK,226,28-04-2020
INFRATEL,225,28-04-2020
AXISBANK,376,29-04-2020
BIOCON,351,29-04-2020
BANDHANBNK,365,30-04-2020
JUSTDIAL,197,30-04-2020
BANDHANBNK,365,04-05-2020
UBL,23,04-05-2020
HINDPETRO,249,05-05-2020
SRTRANSFIN,64,05-05-2020
BPCL,347,06-05-2020
MUTHOOTFIN,146,06-05-2020
COALINDIA,328,07-05-2020
HINDUNILVR,248,07-05-2020
BANDHANBNK,365,08-05-2020
HINDUNILVR,248,08-05-2020
CADILAHC,344,11-05-2020
IBULHSGFIN,244,11-05-2020
ACC,405,12-05-2020
PEL,120,12-05-2020
BANDHANBNK,365,13-05-2020
IBULHSGFIN,244,13-05-2020
